Player Name,Team,Pos,Games,OG,OA,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Milos Kelemen,ARI,LW,14,1,0,1,-5,23,12,0,0,0,0,0,26,6
Nikolai Knyzhov,SJ,D,12,1,0,1,-13,8,10,0,0,0,0,0,11,16
Tim Berni,CLS,D,59,1,2,3,-26,34,58,0,0,0,0,0,122,74
John Leonard,NSH,C,6,1,0,1,0,2,4,1,0,0,0,0,4,4
Cole Koepke,TB,LW,17,1,0,1,-5,2,12,0,0,0,0,0,32,5
Tyler Tucker,STL,D,26,1,3,4,-9,31,21,0,0,0,0,0,50,26
Trey Fix-Wolansky,CLS,RW,9,1,0,1,-5,0,19,0,0,0,0,0,11,8
Aidan McDonough,VAN,LW,6,1,0,1,-2,2,4,0,0,0,0,0,7,2
Tyler Angle,CLS,LW,2,1,0,1,-2,0,5,0,0,0,0,0,2,0
Lukas Rousek,BUF,LW,2,1,1,2,2,0,3,0,0,0,0,0,0,1
Nikita Nesterenko,ANH,LW,9,1,0,1,-3,0,23,0,0,0,0,0,6,1
Matej Blumel,DAL,LW,6,1,0,1,-2,0,7,0,0,0,0,0,7,2
Radim Zohorna,TOR,RW,10,1,0,1,-1,0,9,0,0,0,0,0,7,2
Philip Broberg,EDM,D,46,1,7,8,6,2,32,0,0,0,0,0,28,35
Nikita Okhotyuk,SJ,D,10,1,0,1,1,2,6,1,0,0,0,0,31,9
Zac Jones,NYR,D,16,1,1,2,-2,4,15,1,0,0,0,0,5,16
Egor Afanasyev,NSH,LW,17,1,0,1,-7,2,21,0,0,0,0,0,23,13
Drew Helleson,ANH,D,3,1,0,1,0,2,4,0,0,0,0,0,2,3
Nolan Foote,NJ,LW,6,1,0,1,2,0,4,0,0,0,0,0,5,3
Oskar Steen,BOS,C,3,1,0,1,0,0,5,0,0,0,0,0,3,0
Beck Malenstyn,WAS,C,9,1,1,2,0,2,7,1,0,0,0,0,34,5
Riley Stillman,BUF,D,50,1,7,8,-13,36,37,0,0,0,0,0,81,44
Gustav Lindstrom,DET,D,36,1,7,8,-16,20,18,0,0,0,0,0,39,34
Radim Simek,SJ,D,44,1,2,3,-13,29,39,0,0,0,0,0,89,74
Jack Rathbone,VAN,D,11,1,1,2,-1,2,12,0,0,0,0,0,7,7
Jacob Bryson,BUF,D,59,1,8,9,-24,8,27,0,0,0,0,1,34,69
Aleksi Heponiemi,FLA,LW,10,1,2,3,-1,2,6,0,0,0,0,0,2,1
Ian Mitchell,CHI,D,35,1,7,8,-8,8,25,0,0,1,0,0,16,37
Samuel Walker,MIN,RW,9,1,1,2,-1,0,8,0,0,0,0,0,2,1
Parker Kelly,OTT,C,55,1,3,4,-9,37,59,1,0,0,0,1,172,25
David Gust,CHI,RW,4,1,0,1,-2,2,7,0,0,0,0,0,3,1
Lawrence Pilut,BUF,D,17,1,2,3,-4,0,14,1,0,0,0,0,6,16
Ty Smith,PIT,D,9,1,3,4,3,4,27,0,0,3,0,0,19,4
Niko Mikkola,NYR,D,81,1,5,6,6,58,62,0,0,0,0,0,151,106
Austin Wagner,CHI,LW,7,1,1,2,-2,0,13,1,0,0,0,0,19,1
Dennis Gilbert,CGY,D,23,1,3,4,0,27,13,1,0,0,0,0,55,26
Philippe Myers,TB,D,11,1,2,3,0,4,21,0,0,0,0,0,31,6
Nikita Zaitsev,CHI,D,46,1,7,8,-9,20,20,0,0,0,0,0,95,72
Brett Seney,CHI,LW,7,1,0,1,-2,2,9,0,0,0,0,0,11,4
Guillaume Brisebois,VAN,D,17,1,2,3,-2,6,15,0,0,0,0,0,11,27
Travis Dermott,VAN,D,11,1,0,1,-4,2,7,0,0,0,0,0,10,10
Kyle Criscuolo,SJ,C,1,1,0,1,0,0,2,1,0,0,0,0,2,1
Givani Smith,FLA,LW,36,1,3,4,-2,72,30,0,0,0,0,0,67,8
Ryan Lindgren,NYR,D,63,1,17,18,29,45,75,0,0,0,1,1,68,92
Libor Hajek,NYR,D,16,1,0,1,2,4,13,0,0,0,0,0,17,20
Logan Stanley,WPG,D,19,1,2,3,-1,21,11,0,0,0,0,0,44,20
Jake Bean,CLS,D,14,1,5,6,-2,6,16,0,0,1,0,0,13,21
Alexander Nylander,PIT,RW,9,1,1,2,1,6,11,0,0,0,0,0,12,3
Marcus Pettersson,PIT,D,68,1,23,24,4,58,96,0,0,0,0,0,133,131
Mark Friedman,PIT,D,23,1,2,3,2,15,36,0,0,0,0,0,52,22
Fredrik Olofsson,DAL,LW,28,1,3,4,0,2,34,1,0,0,0,0,32,8
Darren Raddysh,TB,D,17,1,2,3,-4,4,25,0,0,0,0,0,25,16
Jacob MacDonald,SJ,D,58,1,7,8,-14,23,75,0,0,1,0,0,69,43
Jakub Zboril,BOS,D,22,1,3,4,-1,6,13,1,0,0,0,0,31,19
Ryan Carpenter,NYR,C,22,1,2,3,-5,10,17,0,0,0,0,0,35,11
Jonny Brodzinski,NYR,RW,17,1,1,2,3,8,27,0,0,0,0,0,9,4
Ben Harpur,NYR,D,42,1,5,6,0,20,34,0,0,0,0,0,63,57
Laurent Dauphin,ARI,C,21,1,0,1,-4,10,25,0,0,0,0,0,17,10
Nicolas Petan,MIN,C,10,1,2,3,0,2,10,0,0,0,0,0,4,5
Zach Bogosian,TB,D,46,1,4,5,-4,42,54,0,0,0,0,0,114,50
Tyler Myers,VAN,D,78,1,16,17,-16,76,100,0,0,0,0,1,93,144
Marco Scandella,STL,D,20,1,1,2,2,6,17,0,0,0,0,0,27,26
Jordie Benn,TOR,D,12,1,1,2,-1,12,13,1,0,0,0,0,31,29
Jakub Voracek,ARI,LW,11,1,5,6,-7,0,17,0,1,0,0,0,2,7
Patric Hornqvist,FLA,RW,22,1,2,3,-4,13,40,1,0,1,0,0,18,8
Marc-Edouard Vlasic,SJ,D,78,1,17,18,-14,16,67,0,0,0,0,0,45,116
Chris Tanev,CGY,D,65,1,12,13,7,21,75,1,0,1,0,0,51,130
Andrew Agozzino,SJ,LW,4,1,2,3,-1,0,9,0,0,0,1,0,12,4
Erik Gudbranson,CLS,D,70,1,12,13,-24,57,102,1,0,0,0,0,119,137
Kurtis MacDermid,COL,D,44,1,5,6,-1,55,20,1,0,0,0,0,86,31
Buddy Robinson,CHI,RW,9,1,2,3,1,4,13,0,0,0,0,0,15,3
Matt Benning,SJ,D,77,1,23,24,-18,26,58,0,0,1,0,1,102,125
Jaycob Megna,SEA,D,54,1,11,12,3,21,56,0,0,0,0,1,86,66
Chad Ruhwedel,PIT,D,47,1,4,5,-4,18,36,0,0,0,0,0,90,51
Tanner Pearson,VAN,LW,14,1,4,5,-9,21,17,0,0,1,0,0,20,3
Devin Shore,EDM,C,47,1,8,9,6,4,33,0,0,0,0,0,46,24
Cody Ceci,EDM,D,80,1,14,15,11,24,88,0,0,0,0,0,139,110
Joseph Cramarossa,FA,C,4,1,0,1,0,4,1,0,0,0,0,0,8,1
Brian Dumoulin,PIT,D,82,1,24,25,-4,16,82,0,0,0,0,2,123,142
Brayden McNabb,VGK,D,82,1,16,17,17,41,89,0,0,0,0,2,201,197
Byron Froese,VGK,C,9,1,1,2,0,4,15,0,0,0,0,0,11,5
Nathan Beaulieu,ANH,D,52,0,4,4,-23,39,33,0,0,0,0,0,49,80
Kevin Gravel,NSH,D,23,0,1,1,-10,4,20,0,0,0,0,0,23,36
Mark Borowiecki,FA,D,4,0,0,0,0,12,1,0,0,0,0,0,5,1
Brad Malone,EDM,C,10,0,0,0,-4,6,7,0,0,0,0,0,26,4
Taylor Fedun,PIT,D,4,0,0,0,0,0,5,0,0,0,0,0,3,4
Chris Wideman,MON,D,46,0,6,6,-6,81,31,0,0,2,0,0,25,51
Mike Reilly,BOS,D,10,0,1,1,0,2,12,0,0,0,0,0,21,10
Steven Fogarty,MIN,C,2,0,0,0,0,0,0,0,0,0,0,0,3,0
Andy Andreoff,NYI,C,3,0,1,1,-3,0,1,0,0,0,0,0,7,1
Ryan Murray,EDM,D,13,0,3,3,-4,4,8,0,0,0,0,0,11,12
Alex Galchenyuk,COL,RW,11,0,0,0,-8,4,8,0,0,0,0,0,10,3
Derrick Pouliot,SJ,D,8,0,2,2,-1,6,4,0,0,0,0,0,10,9
Brendan Gaunce,CLS,C,5,0,1,1,-1,2,9,0,0,0,0,0,4,2
Connor Brown,WAS,RW,4,0,0,0,-3,0,2,0,0,0,0,0,6,1
Charles Hudon,COL,LW,9,0,0,0,-2,2,18,0,0,0,0,0,13,2
Dominic Toninato,WPG,LW,5,0,1,1,0,2,7,0,0,0,0,0,6,2
Connor Carrick,BOS,D,1,0,1,1,3,0,2,0,0,0,0,0,4,0
Dylan McIlrath,WAS,D,6,0,1,1,-6,7,1,0,0,0,0,0,14,7
Riley Sheahan,FA,C,2,0,0,0,-2,4,0,0,0,0,0,0,0,1
Patrik Nemeth,ARI,D,75,0,5,5,-7,30,62,0,0,0,0,0,116,118
Chris Wagner,BOS,RW,1,0,0,0,0,0,0,0,0,0,0,0,6,1
Justin Braun,FA,D,51,0,2,2,-1,19,42,0,0,0,0,0,47,49
Jake Muzzin,TOR,D,4,0,1,1,0,2,8,0,0,0,0,0,11,10
Kyle Clifford,TOR,LW,2,0,1,1,1,2,2,0,0,0,0,0,6,0
Erik Johnson,COL,D,63,0,8,8,8,12,98,0,0,0,0,1,121,102
Darren Helm,COL,C,11,0,0,0,-1,4,10,0,0,0,0,0,16,3
Anton Stralman,BOS,D,8,0,0,0,-3,2,3,0,0,0,0,0,12,10
Brendan Smith,NJ,D,60,0,5,5,3,63,58,0,0,0,0,1,102,76
Wayne Simmonds,TOR,RW,18,0,2,2,1,49,9,0,0,0,0,0,44,7
Jason Demers,EDM,D,1,0,0,0,-1,0,1,0,0,0,0,0,3,3
Gustav Olofsson,SEA,D,3,0,0,0,1,0,6,0,0,0,0,0,2,4
Dillon Heatherington,OTT,D,3,0,0,0,-3,0,1,0,0,0,0,0,2,2
Steve Santini,STL,D,4,0,1,1,0,2,5,0,0,0,0,0,6,10
Tucker Poolman,VAN,D,3,0,1,1,1,0,3,0,0,0,0,0,2,2
Anton Blidh,NYR,LW,14,0,0,0,-2,4,9,0,0,0,0,0,18,2
Jean-Sebastien Dea,ARI,C,4,0,0,0,-2,0,1,0,0,0,0,0,3,1
Ross Johnston,NYI,LW,16,0,2,2,-1,37,2,0,0,0,0,0,34,5
Andreas Johnsson,SJ,LW,13,0,3,3,-6,6,18,0,0,0,0,0,7,5
Joel Hanley,DAL,D,26,0,2,2,5,15,14,0,0,0,0,0,24,28
Haydn Fleury,TB,D,29,0,1,1,-10,14,33,0,0,0,0,0,30,30
Cole Bardreau,NYI,LW,1,0,0,0,0,2,0,0,0,0,0,0,2,0
Nikita Soshnikov,FA,LW,3,0,0,0,-2,0,4,0,0,0,0,0,8,0
Hayden Hodgson,PHI,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ondrej Kase,CAR,RW,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Rourke Chartier,OTT,C,6,0,0,0,0,0,8,0,0,0,0,0,10,3
C.J. Suess,SJ,LW,1,0,0,0,-1,2,0,0,0,0,0,0,1,0
Dysin Mayo,VGK,D,15,0,0,0,-8,8,7,0,0,0,0,0,30,20
Max Willman,PHI,LW,9,0,0,0,-3,4,9,0,0,0,0,0,16,6
Roland McKeown,NSH,D,6,0,0,0,1,8,3,0,0,0,0,0,4,6
Justin Kirkland,ANH,LW,7,0,0,0,-3,0,5,0,0,0,0,0,8,3
Andreas Englund,CHI,D,47,0,4,4,-1,35,31,0,0,0,0,0,133,33
Drake Caggiula,PIT,LW,4,0,0,0,-1,0,2,0,0,0,0,0,6,1
Kevin Rooney,CGY,C,17,0,1,1,-2,7,14,0,0,0,0,0,26,10
Dan Renouf,BOS,D,1,0,0,0,-3,0,5,0,0,0,0,0,1,2
Dennis Cholowski,NYI,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,1
Henrik Borgstrom,WAS,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Johansen,WAS,D,2,0,0,0,0,0,3,0,0,0,0,0,0,3
Riley Tufte,DAL,LW,3,0,0,0,-1,0,1,0,0,0,0,0,6,0
Kale Clague,BUF,D,33,0,4,4,-3,24,24,0,0,0,0,0,24,24
Tyler Benson,EDM,LW,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Casey Fitzgerald,FLA,D,27,0,3,3,-2,4,13,0,0,0,0,0,35,12
Fredrik Karlstrom,DAL,C,5,0,0,0,1,0,6,0,0,0,0,0,1,1
Victor Mete,TOR,D,11,0,2,2,3,4,7,0,0,0,0,0,3,9
Mikhail Maltsev,COL,C,5,0,0,0,0,0,4,0,0,0,0,0,4,2
Lucas Carlsson,FLA,D,2,0,0,0,-1,2,2,0,0,0,0,0,3,1
Jacob Moverare,LA,D,2,0,0,0,-1,0,6,0,0,0,0,0,3,4
Markus Niemelainen,EDM,D,23,0,0,0,3,4,16,0,0,0,0,0,61,16
William Lockwood,NYR,RW,13,0,1,1,-7,0,12,0,0,0,0,0,37,13
Frederic Allard,MON,D,3,0,0,0,2,0,6,0,0,0,0,0,0,2
Will Bitten,STL,C,4,0,1,1,1,0,0,0,0,0,0,0,10,0
Gabriel Carlsson,WAS,D,6,0,2,2,-1,0,3,0,0,0,0,0,4,1
Noah Juulsen,VAN,D,12,0,0,0,1,6,5,0,0,0,0,0,43,16
Jacob Larsson,OTT,D,7,0,0,0,0,6,4,0,0,0,0,0,7,6
Bokondji Imama,ARI,LW,5,0,0,0,-2,5,0,0,0,0,0,0,13,2
Dakota Mermis,MIN,D,2,0,0,0,-1,0,1,0,0,0,0,0,2,3
Luke Philp,CHI,C,3,0,1,1,0,2,0,0,0,0,0,0,4,0
Colton White,ANH,D,46,0,6,6,-17,8,30,0,0,0,0,0,34,37
Glenn Gawdin,ANH,C,3,0,0,0,-1,0,3,0,0,0,0,0,4,3
Christian Wolanin,VAN,D,16,0,3,3,5,4,16,0,0,1,0,0,4,11
Parker Wotherspoon,NYI,D,12,0,1,1,5,4,10,0,0,0,0,0,8,7
Sheldon Rempal,VGK,LW,1,0,0,0,-2,0,0,0,0,0,0,0,0,0
Grigori Denisenko,FLA,LW,18,0,3,3,-5,4,16,0,0,0,0,0,20,8
Austin Strand,BUF,D,5,0,0,0,-2,2,5,0,0,0,0,0,5,4
Nick Swaney,MIN,RW,1,0,0,0,0,0,0,0,0,0,0,0,3,0
Alex Barre-Boulet,TB,C,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Jake Leschyshyn,NYR,C,35,0,0,0,-10,8,31,0,0,0,0,0,55,11
Dmitri Samorukov,STL,D,2,0,0,0,-1,2,1,0,0,0,0,0,0,2
Cale Fleury,SEA,D,12,0,1,1,0,2,10,0,0,0,0,0,28,13
Jonas Rondbjerg,VGK,RW,13,0,1,1,-5,4,15,0,0,0,0,0,2,7
Marian Studenic,DAL,RW,3,0,0,0,-1,0,4,0,0,0,0,0,3,0
Arnaud Durandeau,NYI,LW,4,0,0,0,1,2,9,0,0,0,0,0,3,2
Olle Lycksell,PHI,RW,8,0,1,1,-3,8,5,0,0,0,0,0,1,7
Carson Meyer,CLS,RW,14,0,1,1,-2,6,17,0,0,0,0,0,26,6
Lias Andersson,LA,LW,1,0,0,0,-1,0,1,0,0,0,0,0,2,0
Shane Bowers,BOS,C,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Urho Vaakanainen,ANH,D,23,0,2,2,-16,0,27,0,0,0,0,0,18,28
Otto Koivula,NYI,C,8,0,2,2,1,4,5,0,0,0,0,0,6,4
Max Lajoie,CAR,D,3,0,0,0,0,0,2,0,0,0,0,0,2,0
Joona Koppanen,BOS,LW,5,0,1,1,0,4,2,0,0,0,0,0,8,2
Matthew Phillips,CGY,C,2,0,0,0,0,2,1,0,0,0,0,0,0,0
Vincent Desharnais,EDM,D,36,0,5,5,14,31,17,0,0,0,0,1,45,48
Jeremy Davies,BUF,D,1,0,0,0,0,2,1,0,0,0,0,0,0,1
Vinni Lettieri,BOS,C,1,0,0,0,-1,0,1,0,0,0,0,0,3,0
Nick DeSimone,CGY,D,4,0,0,0,-4,2,4,0,0,0,0,0,2,4
Matthew Highmore,STL,C,2,0,0,0,1,0,2,0,0,0,0,0,4,0
Dylan Coghlan,CAR,D,17,0,3,3,-1,2,29,0,0,0,0,0,11,9
Jeffrey Viel,SJ,LW,4,0,0,0,0,2,4,0,0,0,0,0,6,2
Jackson LaCombe,ANH,D,2,0,0,0,-1,0,1,0,0,0,0,0,1,9
Kaedan Korczak,VGK,D,10,0,2,2,-3,0,16,0,0,0,0,0,25,8
Alex Vlasic,CHI,D,6,0,1,1,-1,0,4,0,0,0,0,0,5,9
Ronnie Attard,PHI,D,2,0,0,0,0,0,5,0,0,0,0,0,3,2
Adam Beckman,MIN,LW,9,0,0,0,-2,0,12,0,0,0,0,0,3,2
Vladislav Kolyachonok,ARI,D,2,0,0,0,0,0,2,0,0,0,0,0,2,2
Victor Soderstrom,ARI,D,30,0,9,9,-3,24,31,0,0,3,0,0,17,39
Connor McMichael,WAS,C,6,0,0,0,0,5,2,0,0,0,0,0,2,3
Thomas Harley,DAL,D,6,0,2,2,5,2,8,0,0,0,0,0,1,8
Lassi Thomson,OTT,D,2,0,0,0,-2,4,1,0,0,0,0,0,2,0
Ville Heinola,WPG,D,10,0,1,1,-5,2,5,0,0,0,0,0,7,7
Samuel Poulin,PIT,RW,3,0,1,1,-3,2,2,0,0,1,0,0,3,1
Tobias Bjornfot,LA,D,10,0,1,1,1,6,10,0,0,0,0,0,12,11
Justin Richards,CLS,C,2,0,1,1,-1,0,0,0,0,0,0,0,4,0
Samuel Knazko,CLS,D,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam Raska,SJ,LW,3,0,0,0,0,0,1,0,0,0,0,0,13,2
Henry Thrun,SJ,D,8,0,2,2,-3,0,7,0,0,0,0,0,4,9
Nick Abruzzese,TOR,C,2,0,2,2,1,0,2,0,0,1,0,0,1,0
Maxence Guenette,OTT,D,1,0,0,0,-1,0,2,0,0,0,0,0,1,1
Corey Schueneman,MON,D,7,0,1,1,1,0,8,0,0,0,0,0,4,12
Jamie Drysdale,ANH,D,8,0,0,0,-3,2,8,0,0,0,0,0,7,6
Jordan Spence,LA,D,6,0,1,1,1,0,6,0,0,0,0,0,3,3
Tyce Thompson,NJ,C,2,0,0,0,-1,0,1,0,0,0,0,0,0,2
Michael Kesselring,ARI,D,9,0,3,3,-1,6,8,0,0,0,0,0,12,7
Mac Hollowell,TOR,D,6,0,2,2,3,2,4,0,0,0,0,0,3,6
Joel Teasdale,MON,LW,2,0,1,1,-2,0,1,0,0,0,0,0,2,1
Jake Christiansen,CLS,D,24,0,4,4,-7,4,25,0,0,1,0,0,20,23
Brayden Pachal,VGK,D,10,0,2,2,2,8,18,0,0,0,0,0,27,12
Kristian Reichel,WPG,C,2,0,1,1,0,0,1,0,0,0,0,0,2,0
Alex Turcotte,LA,C,4,0,0,0,-2,5,2,0,0,0,0,0,1,0
Taro Hirose,DET,LW,3,0,0,0,-2,2,2,0,0,0,0,0,1,2
Egor Zamula,PHI,D,14,0,4,4,0,2,8,0,0,0,0,0,9,13
Filip Hallander,PIT,C,2,0,0,0,0,0,0,0,0,0,0,0,1,3
Gabriel Fortier,TB,LW,1,0,0,0,0,0,0,0,0,0,0,0,1,0
David Gustafsson,WPG,C,46,0,6,6,2,6,45,0,0,0,0,1,25,18
Semyon Der-Arguchintsev,TOR,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Jan Jenik,ARI,C,2,0,0,0,0,4,0,0,0,0,0,0,4,2
Alec Regula,CHI,D,4,0,0,0,-3,4,2,0,0,0,0,0,4,8
Sampo Ranta,COL,LW,6,0,0,0,0,4,5,0,0,0,0,0,10,3
Nathan Smith,ARI,C,4,0,0,0,-1,4,2,0,0,0,0,0,6,3
Johnny Gruden,PIT,LW,3,0,0,0,0,0,0,0,0,0,0,0,4,1
Spencer Stastney,NSH,D,8,0,2,2,5,2,9,0,0,0,0,1,2,9
Hugh McGing,STL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Filip Kral,TOR,D,2,0,0,0,0,2,1,0,0,0,0,0,2,1
Damien Giroux,MIN,C,1,0,1,1,0,2,0,0,0,0,0,0,2,1
Alexander Alexeyev,WAS,D,32,0,5,5,-2,4,28,0,0,0,0,0,33,48
Jacob Bernard-Docker,OTT,D,19,0,1,1,-2,11,22,0,0,0,0,0,23,27
Benoit-Olivier Groulx,ANH,C,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Adam Ginning,PHI,D,1,0,0,0,0,2,0,0,0,0,0,0,2,2
Marc McLaughlin,BOS,C,2,0,0,0,-1,2,3,0,0,0,0,0,2,0
James Hamblin,EDM,C,10,0,0,0,-3,2,12,0,0,0,0,0,2,1
Callahan Burke,COL,C,2,0,0,0,-1,0,2,0,0,0,0,0,1,2
Nick Cicek,SJ,D,16,0,4,4,-7,15,3,0,0,0,0,0,28,21
Bobby McMann,TOR,C,10,0,1,1,-2,2,18,0,0,0,0,0,17,0
Anton Levtchi,FA,LW,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Owen Beck,MON,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,1
Hunter McKown,CLS,C,12,0,2,2,-4,8,13,0,0,0,0,0,12,5
Akito Hirose,VAN,D,7,0,3,3,-1,4,4,0,0,2,0,0,6,6
Jake Livingstone,NSH,D,5,0,1,1,-2,2,3,0,0,0,0,0,6,11
Matthew Coronato,CGY,LW,1,0,0,0,1,2,4,0,0,0,0,0,1,0
Vincent Iorio,WAS,D,3,0,1,1,0,0,3,0,0,0,0,0,2,3
Matthew Knies,TOR,LW,3,0,1,1,1,2,4,0,0,0,0,0,2,2
Billy Sweezey,CLS,D,9,0,1,1,-3,9,3,0,0,0,0,0,39,20
Brandt Clarke,LA,D,9,0,2,2,-1,6,11,0,0,1,0,0,3,14
Jesper Froden,SEA,RW,14,0,4,4,4,6,10,0,0,0,0,0,11,6
Jackson Cates,PHI,C,5,0,0,0,0,0,4,0,0,0,0,0,3,1
Elliot Desnoyers,PHI,C,4,0,0,0,-2,0,3,0,0,0,0,0,9,4
Wyatt Kaiser,CHI,D,9,0,3,3,-4,4,14,0,0,0,0,0,5,10
Mikael Pyyhtia,CLS,LW,2,0,1,1,-2,2,2,0,0,1,0,0,0,2
Oskar Olausson,COL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
David Jiricek,CLS,D,4,0,0,0,-4,2,5,0,0,0,0,0,9,7
Stanislav Svozil,CLS,D,2,0,1,1,-3,2,3,0,0,1,0,0,1,1
Matt Kessel,STL,D,2,0,0,0,-1,0,3,0,0,0,0,0,0,1
William Dufour,NYI,RW,1,0,0,0,-2,0,0,0,0,0,0,0,1,0
Marco Kasper,DET,C,1,0,0,0,0,0,1,0,0,0,0,0,3,0
Josh Dunne,CLS,C,8,0,0,0,-6,6,4,0,0,0,0,0,19,4
Mike Hardman,CHI,RW,8,0,0,0,-2,0,7,0,0,0,0,0,25,6
Alex Steeves,TOR,LW,3,0,0,0,-2,0,3,0,0,0,0,0,3,0
Thomas Bordeleau,SJ,LW,8,0,2,2,-3,0,9,0,0,0,0,0,4,3
Tyler Kleven,OTT,D,8,0,2,2,-1,2,11,0,0,0,0,0,9,7
Brock Faber,MIN,D,2,0,0,0,2,0,1,0,0,0,0,0,0,9
Tristen Robins,SJ,C,3,0,0,0,-1,0,2,0,0,0,0,0,2,3
Will Cuylle,NYR,LW,4,0,0,0,-2,10,1,0,0,0,0,0,8,0
Jean-Luc Foudy,COL,C,9,0,0,0,-3,6,12,0,0,0,0,0,2,2
Marco Rossi,MIN,C,19,0,1,1,-7,8,13,0,0,0,0,0,6,9
